iter	Passed	Remaining
0	57	57754
1	58	28997
2	58	19402
3	58	14600
4	58	11714
5	59	9793
6	59	8421
7	59	7388
8	59	6585
9	60	5942
10	60	5416
11	60	4978
12	60	4607
13	60	4290
14	61	4014
15	61	3773
16	61	3560
17	61	3371
18	62	3202
19	62	3049
20	62	2912
21	62	2790
22	63	2678
23	63	2575
24	63	2481
25	63	2394
26	64	2312
27	64	2236
28	64	2166
29	65	2101
30	65	2039
31	65	1980
32	65	1926
33	65	1874
34	66	1824
35	66	1777
36	66	1733
37	66	1691
38	67	1651
39	67	1613
40	67	1577
41	67	1543
42	67	1511
43	68	1480
44	68	1450
45	68	1421
46	68	1394
47	68	1367
48	69	1342
49	69	1317
50	69	1294
51	69	1273
52	70	1252
53	70	1232
54	70	1212
55	70	1193
56	70	1174
57	71	1156
58	71	1138
59	71	1122
60	71	1106
61	72	1090
62	72	1075
63	72	1060
64	72	1046
65	72	1032
66	73	1019
67	73	1005
68	73	993
69	73	981
70	74	969
71	74	957
72	74	946
73	74	934
74	74	923
75	75	914
76	75	904
77	75	894
78	75	884
79	76	874
80	76	867
81	76	858
82	76	849
83	77	841
84	77	831
85	77	822
86	77	813
87	77	805
88	77	797
89	78	789
90	78	782
91	78	775
92	78	767
93	78	760
94	79	753
95	79	747
96	79	740
97	79	734
98	79	728
99	80	721
100	80	716
101	80	709
102	80	704
103	81	699
104	81	694
105	81	688
106	81	683
107	82	677
108	82	672
109	82	667
110	82	662
111	82	657
112	83	652
113	83	647
114	83	643
115	83	638
116	83	633
117	84	628
118	84	623
119	84	619
120	84	615
121	84	610
122	84	605
123	85	601
124	85	597
125	85	593
126	85	589
127	85	584
128	86	581
129	86	577
130	86	573
131	86	570
132	86	566
133	87	563
134	87	559
135	87	556
136	87	552
137	87	549
138	88	546
139	88	543
140	88	541
141	89	538
142	89	535
143	89	532
144	89	530
145	90	527
146	90	524
147	90	521
148	90	518
149	91	516
150	91	513
151	91	510
152	91	507
153	91	504
154	92	501
155	92	499
156	92	496
157	92	493
158	92	491
159	93	488
160	93	486
161	93	483
162	93	481
163	93	478
164	94	476
165	94	474
166	94	472
167	94	469
168	95	467
169	95	464
170	95	462
171	95	460
172	96	459
173	96	456
174	96	454
175	96	452
176	96	450
177	97	448
178	97	446
179	97	444
180	97	441
181	97	439
182	97	437
183	98	435
184	98	433
185	98	431
186	98	429
187	99	427
188	99	425
189	99	423
190	99	421
191	99	420
192	100	418
193	100	416
194	100	414
195	100	412
196	100	411
197	101	409
198	101	407
199	101	405
200	101	404
201	101	402
202	102	400
203	102	399
204	102	397
205	102	396
206	102	394
207	103	393
208	103	392
209	103	390
210	104	389
211	104	387
212	104	386
213	104	384
214	104	383
215	105	381
216	105	379
217	105	378
218	105	377
219	105	375
220	106	374
221	106	372
222	106	371
223	106	369
224	106	368
225	107	366
226	107	365
227	107	363
228	107	362
229	107	361
230	108	359
231	108	358
232	108	357
233	108	355
234	108	354
235	109	353
236	109	351
237	109	350
238	109	349
239	109	348
240	110	346
241	110	345
242	110	344
243	110	343
244	111	342
245	111	340
246	111	339
247	111	338
248	111	337
249	111	335
250	112	334
251	112	333
252	112	332
253	112	331
254	113	330
255	113	329
256	113	328
257	113	326
258	113	325
259	114	324
260	114	323
261	114	322
262	114	321
263	114	320
264	115	319
265	115	317
266	115	316
267	115	315
268	115	314
269	116	313
270	116	312
271	116	311
272	116	310
273	116	309
274	117	308
275	117	307
276	117	306
277	117	305
278	118	305
279	118	304
280	118	303
281	118	302
282	119	301
283	119	300
284	119	299
285	119	298
286	119	297
287	120	296
288	120	295
289	120	295
290	120	294
291	120	293
292	121	292
293	121	291
294	121	290
295	121	289
296	121	288
297	122	287
298	122	286
299	122	285
