iter	Passed	Remaining
0	56	56619
1	56	28403
2	57	18990
3	57	14297
4	57	11471
5	57	9592
6	58	8247
7	58	7234
8	58	6446
9	58	5819
10	58	5304
11	59	4872
12	59	4507
13	59	4198
14	59	3927
15	60	3691
16	60	3484
17	60	3301
18	60	3144
19	61	2997
20	61	2862
21	61	2739
22	61	2630
23	62	2527
24	62	2433
25	62	2347
26	62	2266
27	63	2192
28	63	2124
29	63	2060
30	63	2000
31	64	1942
32	64	1888
33	64	1836
34	64	1788
35	65	1743
36	65	1702
37	65	1661
38	65	1622
39	66	1585
40	66	1550
41	66	1518
42	66	1486
43	67	1455
44	67	1426
45	67	1398
46	67	1372
47	67	1346
48	68	1323
49	68	1300
50	68	1278
51	68	1256
52	69	1235
53	69	1215
54	69	1195
55	69	1177
56	70	1160
57	70	1143
58	70	1127
59	70	1110
60	71	1094
61	71	1079
62	71	1064
63	71	1049
64	71	1035
65	72	1021
66	72	1008
67	72	995
68	72	983
69	73	972
70	73	960
71	73	948
72	73	937
73	74	926
74	74	915
75	74	905
76	74	895
77	74	885
78	75	875
79	75	865
80	75	856
81	75	848
82	75	839
83	76	831
84	76	823
85	76	815
86	77	808
87	77	801
88	77	794
89	77	787
90	78	780
91	78	774
92	78	767
93	78	761
94	79	755
95	79	748
96	79	742
97	79	735
98	80	729
99	80	723
100	80	718
101	80	712
102	81	707
103	81	701
104	81	695
105	81	690
106	82	684
107	82	679
108	82	674
109	82	669
110	82	664
111	83	660
112	83	656
113	83	651
114	84	648
115	84	645
116	84	641
117	85	637
118	85	633
119	85	628
120	85	624
121	86	619
122	86	615
123	86	611
124	86	607
125	87	603
126	87	599
127	87	596
128	87	593
129	88	589
130	88	585
131	88	581
132	88	578
133	88	574
134	89	571
135	89	568
136	89	564
137	89	561
138	90	558
139	90	554
140	90	551
141	90	548
142	91	546
143	91	544
144	91	542
145	92	539
146	92	536
147	92	533
148	93	531
149	93	528
150	93	525
151	93	522
152	93	519
153	94	517
154	94	514
155	94	511
156	94	509
157	95	506
158	95	503
159	95	501
160	95	498
161	95	495
162	96	493
163	96	490
164	96	488
165	96	486
166	97	484
167	97	482
168	97	480
169	98	478
170	98	476
171	98	474
172	98	473
173	99	471
174	99	469
175	99	466
176	99	464
177	100	462
178	100	460
179	100	458
180	100	455
181	100	453
182	101	451
183	101	449
184	101	447
185	101	445
186	102	443
187	102	441
188	102	439
189	102	437
190	102	435
191	103	433
192	103	431
193	103	429
194	103	427
195	103	426
196	104	424
197	104	422
